164, 120, 208, 52
409, 278, 461, 110
672, 340, 759, 171
1002, 320, 1064, 159
1097, 433, 1265, 329
1079, 539, 1258, 626
924, 565, 1035, 704
795, 544, 814, 694
599, 524, 498, 686
569, 482, 397, 498
550, 413, 401, 405
496, 329, 389, 394
366, 299, 379, 395
274, 335, 369, 402
212, 460, 356, 427
223, 568, 371, 569
214, 586, 323, 661
208, 592, 203, 708
200, 599, 38, 674
195, 590, 31, 555
189, 460, 43, 446
216, 311, 51, 311
209, 189, 56, 194
169, 145, 58, 191
106, 102, 57, 191
105, 104, 31, 103
106, 100, 90, 27
105, 98, 147, 34
164, 120, 208, 52
