164.0, 120.0, 208.0, 52.0
409.0, 278.0, 461.0, 110.0
672.0, 340.0, 759.0, 171.0
1002.0, 320.0, 1064.0, 159.0
1097.0, 433.0, 1265.0, 329.0
1079.0, 539.0, 1258.0, 626.0
924.0, 565.0, 1035.0, 704.0
795.0, 544.0, 814.0, 694.0
599.0, 524.0, 498.0, 686.0
569.0, 482.0, 397.0, 498.0
550.0, 413.0, 401.0, 405.0
496.0, 329.0, 389.0, 394.0
366.0, 299.0, 379.0, 395.0
274.0, 335.0, 369.0, 402.0
212.0, 460.0, 356.0, 427.0
223.0, 568.0, 371.0, 569.0
214.0, 586.0, 323.0, 661.0
208.0, 592.0, 203.0, 708.0
200.0, 599.0, 38.0, 674.0
195.0, 590.0, 31.0, 555.0
189.0, 460.0, 43.0, 446.0
216.0, 311.0, 51.0, 311.0
209.0, 189.0, 56.0, 194.0
169.0, 145.0, 58.0, 191.0
106.0, 102.0, 57.0, 191.0
105.0, 104.0, 31.0, 103.0
106.0, 100.0, 90.0, 27.0
105.0, 98.0, 147.0, 34.0
164.0, 120.0, 208.0, 52.0
